"4","7345","1992-07-07 16:42:23","85","15","In cart"
"95","7777","1985-11-18 22:21:56","14","16","In cart"
"31","3427","2019-09-23 11:56:57","52","17","In cart"
"64","4950","1981-08-02 09:45:13","69","17","Ordered"
"27","879","1970-09-30 12:44:30","3","1","In cart"
"4","178","2015-06-14 22:07:25","53","18","Ordered"
"32","8726","1974-02-09 21:19:01","97","8","In cart"
"59","3910","1989-04-02 22:57:16","73","15","Ordered"
"25","3594","2011-03-10 04:01:30","90","7","Ordered"
"48","7704","1991-02-16 13:18:59","7","13","Ordered"
"95","3888","2000-06-24 08:47:14","55","1","In cart"
"100","4855","1970-08-05 01:55:34","66","17","In cart"
"95","206","1985-09-12 01:06:25","37","13","In cart"
"85","2293","1970-03-18 19:56:24","51","19","In cart"
"77","6444","2008-07-02 11:50:59","90","6","Ordered"
"83","736","2006-10-03 10:32:18","50","2","In cart"
"22","9160","1991-02-04 13:22:54","56","5","Ordered"
"94","1410","2010-04-11 03:35:02","43","3","In cart"
"54","149","2010-02-17 17:40:16","3","18","In cart"
"55","2705","2005-04-17 07:23:33","4","13","Ordered"
"21","7170","1974-12-30 06:09:14","73","16","In cart"
"29","3578","2019-11-01 19:21:09","80","5","In cart"
"7","6117","2010-07-26 03:10:39","80","12","In cart"
"96","5975","2002-03-20 11:34:38","24","3","Ordered"
"96","6859","1995-07-30 09:22:42","6","2","In cart"
"51","4872","1972-10-06 09:49:14","37","15","In cart"
"72","6806","1974-11-02 12:03:28","57","9","In cart"
"86","1691","1972-11-02 12:07:42","35","1","Ordered"
"33","7387","1977-06-26 20:40:24","5","13","In cart"
"56","1269","1996-09-27 13:36:56","45","20","Ordered"
"88","292","1998-08-26 19:22:25","55","2","Ordered"
"14","5751","2018-02-22 12:03:58","85","6","In cart"
"56","4011","1975-12-07 00:34:55","60","3","In cart"
"80","7794","2001-02-28 07:17:40","47","2","In cart"
"51","7390","2008-06-02 05:50:18","85","12","Ordered"
"79","4680","1973-04-02 12:15:53","66","13","In cart"
"33","6788","1983-03-09 18:17:02","5","5","Ordered"
"30","318","1988-07-17 04:59:35","66","17","Ordered"
"6","8384","2008-08-17 17:08:48","53","1","In cart"
"2","7629","1973-08-25 23:45:35","22","11","In cart"
"3","7771","1972-01-23 17:38:15","71","14","In cart"
"50","7250","1999-11-05 08:41:58","57","14","Ordered"
"51","357","2009-07-03 01:12:37","24","11","In cart"
"91","5595","1988-08-24 02:52:46","47","6","Ordered"
"38","4885","1988-10-05 14:03:03","61","17","Ordered"
"28","2","1990-01-14 23:05:10","12","18","Ordered"
"26","210","2004-01-05 15:12:08","99","9","Ordered"
"15","4179","1977-11-25 23:35:36","100","8","In cart"
"97","2744","2018-12-27 17:38:32","66","8","Ordered"
"81","2964","1972-04-16 13:39:40","97","4","In cart"
"90","6086","1991-05-09 15:16:40","99","2","In cart"
"51","8014","1990-01-21 22:58:43","63","10","Ordered"
"58","4698","1989-03-16 02:35:50","77","8","Ordered"
"4","1047","2009-02-20 12:02:20","4","7","In cart"
"22","1884","2006-04-11 05:48:15","35","1","In cart"
"73","5362","1998-12-12 14:54:07","5","6","Ordered"
"63","4639","2005-06-07 19:42:31","37","11","Ordered"
"49","2316","2015-11-19 17:56:26","60","13","In cart"
